E:\Programming\Miniconda3\python.exe D:/Project/Python/Dialogue/Dialogue/run.py
dataset:  ./dataset/DoubanConversaionCorpus/
Namespace(batch_size=150, epochs=5, l2_reg=0.0, learning_rate=0.001, max_utterances=10, max_words=50, rnn1_hidden=200, rnn2_hidden=200, save_path='./checkpoint/douban.MSN.pt', score_file_path='./dataset/DoubanConversaionCorpus/score_file.txt', vocab_size=156157)
MSN(
  (word_embedding): Embedding(156157, 200, padding_idx=0)
  (selector_transformer): TransformerBlock(
    (relu): ReLU()
    (linear1): Linear(in_features=200, out_features=200, bias=True)
    (linear2): Linear(in_features=200, out_features=200, bias=True)
  )
  (linear_word): Linear(in_features=100, out_features=1, bias=True)
  (linear_score): Linear(in_features=3, out_features=1, bias=True)
  (transformer_utt): TransformerBlock(
    (relu): ReLU()
    (linear1): Linear(in_features=200, out_features=200, bias=True)
    (linear2): Linear(in_features=200, out_features=200, bias=True)
  )
  (transformer_res): TransformerBlock(
    (relu): ReLU()
    (linear1): Linear(in_features=200, out_features=200, bias=True)
    (linear2): Linear(in_features=200, out_features=200, bias=True)
  )
  (transformer_ur): TransformerBlock(
    (relu): ReLU()
    (linear1): Linear(in_features=200, out_features=200, bias=True)
    (linear2): Linear(in_features=200, out_features=200, bias=True)
  )
  (transformer_ru): TransformerBlock(
    (relu): ReLU()
    (linear1): Linear(in_features=200, out_features=200, bias=True)
    (linear2): Linear(in_features=200, out_features=200, bias=True)
  )
  (cnn_2d_1): Conv2d(6, 16, kernel_size=(3, 3), stride=(1, 1))
  (maxpooling1): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
  (cnn_2d_2): Conv2d(16, 32, kernel_size=(3, 3), stride=(1, 1))
  (maxpooling2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
  (cnn_2d_3): Conv2d(32, 64, kernel_size=(3, 3), stride=(1, 1))
  (maxpooling3): MaxPool2d(kernel_size=(3, 3), stride=(3, 3), padding=0, dilation=1, ceil_mode=False)
  (affine2): Linear(in_features=576, out_features=300, bias=True)
  (gru_acc): GRU(300, 300, batch_first=True)
  (affine_out): Linear(in_features=300, out_features=1, bias=True)
  (tanh): Tanh()
  (relu): ReLU()
  (dropout): Dropout(p=0.2)
)
X_utterances:  torch.Size([1000000, 10, 50])
X_responses:  torch.Size([1000000, 50])
y_labels:  torch.Size([1000000])

Epoch  1 / 5
Batch[0] - loss: 0.693539  batch_size:150
Batch[1] - loss: 0.783128  batch_size:150
Batch[2] - loss: 0.693412  batch_size:150
Batch[3] - loss: 0.682673  batch_size:150
Batch[4] - loss: 0.692836  batch_size:150
Batch[5] - loss: 0.720962  batch_size:150
Batch[6] - loss: 0.693318  batch_size:150
Batch[7] - loss: 0.708681  batch_size:150
Batch[8] - loss: 0.696036  batch_size:150
Batch[9] - loss: 0.691153  batch_size:150
Batch[10] - loss: 0.692549  batch_size:150
Batch[11] - loss: 0.691433  batch_size:150
Batch[12] - loss: 0.690700  batch_size:150
Batch[13] - loss: 0.687121  batch_size:150
Batch[14] - loss: 0.685240  batch_size:150
Batch[15] - loss: 0.686992  batch_size:150
Batch[16] - loss: 0.699354  batch_size:150
Batch[17] - loss: 0.694990  batch_size:150
Batch[18] - loss: 0.690645  batch_size:150
Batch[19] - loss: 0.678288  batch_size:150
Batch[20] - loss: 0.697269  batch_size:150
Batch[21] - loss: 0.672720  batch_size:150
Batch[22] - loss: 0.681765  batch_size:150
Batch[23] - loss: 0.692169  batch_size:150
Batch[24] - loss: 0.668932  batch_size:150
Batch[25] - loss: 0.669012  batch_size:150
Batch[26] - loss: 0.681040  batch_size:150
Batch[27] - loss: 0.689013  batch_size:150
Batch[28] - loss: 0.683311  batch_size:150
Batch[29] - loss: 0.675735  batch_size:150
Batch[30] - loss: 0.667159  batch_size:150
Batch[31] - loss: 0.692001  batch_size:150
Batch[32] - loss: 0.670810  batch_size:150
Batch[33] - loss: 0.661470  batch_size:150
Batch[34] - loss: 0.721564  batch_size:150
Batch[35] - loss: 0.666858  batch_size:150
Batch[36] - loss: 0.710202  batch_size:150
Batch[37] - loss: 0.672807  batch_size:150
Batch[38] - loss: 0.671798  batch_size:150
Batch[39] - loss: 0.638828  batch_size:150
Batch[40] - loss: 0.661241  batch_size:150
Batch[41] - loss: 0.728331  batch_size:150
Batch[42] - loss: 0.677247  batch_size:150
Batch[43] - loss: 0.640358  batch_size:150
Batch[44] - loss: 0.693558  batch_size:150
Batch[45] - loss: 0.668312  batch_size:150
Batch[46] - loss: 0.665752  batch_size:150
Batch[47] - loss: 0.674652  batch_size:150
Batch[48] - loss: 0.702274  batch_size:150
Batch[49] - loss: 0.628121  batch_size:150
Batch[50] - loss: 0.695492  batch_size:150
Batch[51] - loss: 0.659482  batch_size:150
Batch[52] - loss: 0.651166  batch_size:150
Batch[53] - loss: 0.663341  batch_size:150
Batch[54] - loss: 0.693919  batch_size:150
Batch[55] - loss: 0.656420  batch_size:150
Batch[56] - loss: 0.642848  batch_size:150
Batch[57] - loss: 0.673082  batch_size:150
Batch[58] - loss: 0.665944  batch_size:150
Batch[59] - loss: 0.648714  batch_size:150
Batch[60] - loss: 0.645798  batch_size:150
Batch[61] - loss: 0.638499  batch_size:150
Batch[62] - loss: 0.659897  batch_size:150
Batch[63] - loss: 0.699122  batch_size:150
Batch[64] - loss: 0.668478  batch_size:150
Batch[65] - loss: 0.653363  batch_size:150
Batch[66] - loss: 0.676822  batch_size:150
Batch[67] - loss: 0.676093  batch_size:150
Batch[68] - loss: 0.613695  batch_size:150
Batch[69] - loss: 0.607243  batch_size:150
Batch[70] - loss: 0.665563  batch_size:150
Batch[71] - loss: 0.714920  batch_size:150
Batch[72] - loss: 0.655309  batch_size:150
Batch[73] - loss: 0.632301  batch_size:150
Batch[74] - loss: 0.615864  batch_size:150
Batch[75] - loss: 0.587805  batch_size:150
Batch[76] - loss: 0.684740  batch_size:150
Batch[77] - loss: 0.613273  batch_size:150
Batch[78] - loss: 0.617619  batch_size:150
Batch[79] - loss: 0.575800  batch_size:150
Batch[80] - loss: 0.635929  batch_size:150
Batch[81] - loss: 0.608652  batch_size:150
Batch[82] - loss: 0.573532  batch_size:150
Batch[83] - loss: 0.622269  batch_size:150
Batch[84] - loss: 0.597184  batch_size:150
Batch[85] - loss: 0.595696  batch_size:150
Batch[86] - loss: 0.580218  batch_size:150
Batch[87] - loss: 0.597878  batch_size:150
Batch[88] - loss: 0.543188  batch_size:150
Batch[89] - loss: 0.549537  batch_size:150
Batch[90] - loss: 0.605744  batch_size:150
Batch[91] - loss: 0.601332  batch_size:150
Batch[92] - loss: 0.539385  batch_size:150
Batch[93] - loss: 0.543377  batch_size:150
Batch[94] - loss: 0.593359  batch_size:150
Batch[95] - loss: 0.600391  batch_size:150
Batch[96] - loss: 0.589477  batch_size:150
Batch[97] - loss: 0.625500  batch_size:150
Batch[98] - loss: 0.565363  batch_size:150
Batch[99] - loss: 0.561991  batch_size:150
Batch[100] - loss: 0.583504  batch_size:150
Batch[101] - loss: 0.599432  batch_size:150
Batch[102] - loss: 0.544269  batch_size:150
Batch[103] - loss: 0.572202  batch_size:150
Batch[104] - loss: 0.607008  batch_size:150
Batch[105] - loss: 0.570011  batch_size:150
Batch[106] - loss: 0.548236  batch_size:150
Batch[107] - loss: 0.574896  batch_size:150
Batch[108] - loss: 0.558917  batch_size:150
Batch[109] - loss: 0.526431  batch_size:150
Batch[110] - loss: 0.617205  batch_size:150
Batch[111] - loss: 0.491122  batch_size:150
Batch[112] - loss: 0.527668  batch_size:150
Batch[113] - loss: 0.529958  batch_size:150
Batch[114] - loss: 0.599218  batch_size:150
Batch[115] - loss: 0.562953  batch_size:150
Batch[116] - loss: 0.554814  batch_size:150
Batch[117] - loss: 0.480271  batch_size:150
Batch[118] - loss: 0.589863  batch_size:150
Batch[119] - loss: 0.565477  batch_size:150
Batch[120] - loss: 0.502187  batch_size:150
Batch[121] - loss: 0.525027  batch_size:150
Batch[122] - loss: 0.475464  batch_size:150
Batch[123] - loss: 0.540442  batch_size:150
Batch[124] - loss: 0.531730  batch_size:150
Batch[125] - loss: 0.492149  batch_size:150
Batch[126] - loss: 0.487451  batch_size:150
Batch[127] - loss: 0.549712  batch_size:150
Batch[128] - loss: 0.505195  batch_size:150
Batch[129] - loss: 0.555186  batch_size:150
Batch[130] - loss: 0.544611  batch_size:150
Batch[131] - loss: 0.499818  batch_size:150
Batch[132] - loss: 0.462242  batch_size:150
Batch[133] - loss: 0.441774  batch_size:150
Batch[134] - loss: 0.559179  batch_size:150
Batch[135] - loss: 0.481644  batch_size:150
Batch[136] - loss: 0.584790  batch_size:150
Batch[137] - loss: 0.496596  batch_size:150
Batch[138] - loss: 0.435779  batch_size:150
Batch[139] - loss: 0.507202  batch_size:150
Batch[140] - loss: 0.474664  batch_size:150
Batch[141] - loss: 0.452335  batch_size:150
Batch[142] - loss: 0.411152  batch_size:150
Batch[143] - loss: 0.440695  batch_size:150
Batch[144] - loss: 0.443118  batch_size:150
Batch[145] - loss: 0.553530  batch_size:150
Batch[146] - loss: 0.521390  batch_size:150
Batch[147] - loss: 0.479376  batch_size:150
Batch[148] - loss: 0.424743  batch_size:150
Batch[149] - loss: 0.431566  batch_size:150
Batch[150] - loss: 0.424113  batch_size:150
Batch[151] - loss: 0.553549  batch_size:150
Batch[152] - loss: 0.481443  batch_size:150
Batch[153] - loss: 0.451665  batch_size:150
Batch[154] - loss: 0.545866  batch_size:150
Batch[155] - loss: 0.490409  batch_size:150
Batch[156] - loss: 0.508167  batch_size:150
Batch[157] - loss: 0.459513  batch_size:150
Batch[158] - loss: 0.450789  batch_size:150
Batch[159] - loss: 0.441943  batch_size:150
Batch[160] - loss: 0.490969  batch_size:150
Batch[161] - loss: 0.433167  batch_size:150
Batch[162] - loss: 0.489681  batch_size:150
Batch[163] - loss: 0.473611  batch_size:150
Batch[164] - loss: 0.476073  batch_size:150
Batch[165] - loss: 0.490441  batch_size:150
Batch[166] - loss: 0.451636  batch_size:150
Batch[167] - loss: 0.431240  batch_size:150
Batch[168] - loss: 0.462752  batch_size:150
Batch[169] - loss: 0.492246  batch_size:150
Batch[170] - loss: 0.484719  batch_size:150
Batch[171] - loss: 0.519037  batch_size:150
Batch[172] - loss: 0.477373  batch_size:150
Batch[173] - loss: 0.493760  batch_size:150
Batch[174] - loss: 0.515251  batch_size:150
Batch[175] - loss: 0.454347  batch_size:150
Batch[176] - loss: 0.469932  batch_size:150
Batch[177] - loss: 0.426036  batch_size:150
Batch[178] - loss: 0.460826  batch_size:150
Batch[179] - loss: 0.499324  batch_size:150
Batch[180] - loss: 0.457913  batch_size:150
Batch[181] - loss: 0.386463  batch_size:150
Batch[182] - loss: 0.464482  batch_size:150
Batch[183] - loss: 0.390565  batch_size:150
Batch[184] - loss: 0.456125  batch_size:150
Batch[185] - loss: 0.514763  batch_size:150
Batch[186] - loss: 0.395650  batch_size:150
Batch[187] - loss: 0.356939  batch_size:150
Batch[188] - loss: 0.496612  batch_size:150
Batch[189] - loss: 0.498286  batch_size:150
Batch[190] - loss: 0.496460  batch_size:150
Batch[191] - loss: 0.414006  batch_size:150
Batch[192] - loss: 0.427176  batch_size:150
Batch[193] - loss: 0.386457  batch_size:150
Batch[194] - loss: 0.452634  batch_size:150
Batch[195] - loss: 0.371841  batch_size:150
Batch[196] - loss: 0.430726  batch_size:150
Batch[197] - loss: 0.409066  batch_size:150
Batch[198] - loss: 0.462246  batch_size:150
Batch[199] - loss: 0.441097  batch_size:150
Batch[200] - loss: 0.458093  batch_size:150
Batch[201] - loss: 0.511317  batch_size:150
Batch[202] - loss: 0.430189  batch_size:150
Batch[203] - loss: 0.471539  batch_size:150
Batch[204] - loss: 0.350450  batch_size:150
Batch[205] - loss: 0.415504  batch_size:150
Batch[206] - loss: 0.422201  batch_size:150
Batch[207] - loss: 0.409339  batch_size:150
Batch[208] - loss: 0.466636  batch_size:150
Batch[209] - loss: 0.420667  batch_size:150
Batch[210] - loss: 0.427979  batch_size:150
Batch[211] - loss: 0.408294  batch_size:150
Batch[212] - loss: 0.397811  batch_size:150
Batch[213] - loss: 0.435838  batch_size:150
Batch[214] - loss: 0.513130  batch_size:150
Batch[215] - loss: 0.349694  batch_size:150
Batch[216] - loss: 0.358838  batch_size:150
Batch[217] - loss: 0.497953  batch_size:150
Batch[218] - loss: 0.348863  batch_size:150
Batch[219] - loss: 0.466318  batch_size:150
Batch[220] - loss: 0.430999  batch_size:150
Batch[221] - loss: 0.435846  batch_size:150
Batch[222] - loss: 0.457563  batch_size:150
Batch[223] - loss: 0.508683  batch_size:150
Batch[224] - loss: 0.484575  batch_size:150
Batch[225] - loss: 0.447630  batch_size:150
Batch[226] - loss: 0.443775  batch_size:150
Batch[227] - loss: 0.448614  batch_size:150
Batch[228] - loss: 0.480730  batch_size:150
Batch[229] - loss: 0.438652  batch_size:150
Batch[230] - loss: 0.479908  batch_size:150
Batch[231] - loss: 0.405596  batch_size:150
Batch[232] - loss: 0.428466  batch_size:150
Batch[233] - loss: 0.443652  batch_size:150
Batch[234] - loss: 0.539819  batch_size:150
Batch[235] - loss: 0.581758  batch_size:150
Batch[236] - loss: 0.522832  batch_size:150
Batch[237] - loss: 0.399174  batch_size:150
Batch[238] - loss: 0.418184  batch_size:150
Batch[239] - loss: 0.429603  batch_size:150
Batch[240] - loss: 0.466750  batch_size:150
Batch[241] - loss: 0.396793  batch_size:150
Batch[242] - loss: 0.552770  batch_size:150
Batch[243] - loss: 0.478903  batch_size:150
Batch[244] - loss: 0.378408  batch_size:150
Batch[245] - loss: 0.358472  batch_size:150
Batch[246] - loss: 0.363381  batch_size:150
Batch[247] - loss: 0.485387  batch_size:150
Batch[248] - loss: 0.362143  batch_size:150
Batch[249] - loss: 0.408791  batch_size:150
Batch[250] - loss: 0.398776  batch_size:150
Batch[251] - loss: 0.343057  batch_size:150
Batch[252] - loss: 0.321453  batch_size:150
Batch[253] - loss: 0.402544  batch_size:150
Batch[254] - loss: 0.505727  batch_size:150
Batch[255] - loss: 0.400920  batch_size:150
Batch[256] - loss: 0.379130  batch_size:150
Batch[257] - loss: 0.356449  batch_size:150
Batch[258] - loss: 0.454212  batch_size:150
Batch[259] - loss: 0.554380  batch_size:150
